source_artifact,schema_version,method,seed,run_segment,global_step,wall_time_seconds,state_role,split,accuracy,loss,total_active_rank,active_model_parameter_count,runtime_trainable_parameter_count,full_model_parameter_count,checkpoint,metrics
NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed42_budget0.94/telemetry.jsonl,rank_telemetry.v1,genetic_budgeted_calibrated,42,0,300,273.16468549399997,training_trajectory_evaluation,validation,0.855595667870036,0.36418992280960083,72,758090,923978,184755674,,"{""epoch"":3.85,""eval_accuracy"":0.855595667870036,""eval_loss"":0.36418992280960083,""eval_runtime"":5.5854,""eval_samples_per_second"":49.594}"
NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed42_budget0.94/telemetry.jsonl,rank_telemetry.v1,genetic_budgeted_calibrated,42,0,400,369.15279057299995,training_trajectory_evaluation,validation,0.8700361010830325,0.530154287815094,72,758090,758090,184755674,,"{""epoch"":5.13,""eval_accuracy"":0.8700361010830325,""eval_loss"":0.530154287815094,""eval_runtime"":5.1698,""eval_samples_per_second"":53.58}"
NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed42_budget0.94/telemetry.jsonl,rank_telemetry.v1,genetic_budgeted_calibrated,42,0,500,446.4741992240006,training_trajectory_evaluation,validation,0.8483754512635379,0.5099316239356995,72,758090,758090,184755674,,"{""epoch"":6.41,""eval_accuracy"":0.8483754512635379,""eval_loss"":0.5099316239356995,""eval_runtime"":5.7728,""eval_samples_per_second"":47.984}"
NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed42_budget0.94/telemetry.jsonl,rank_telemetry.v1,genetic_budgeted_calibrated,42,0,600,527.0129823559992,training_trajectory_evaluation,validation,0.8339350180505415,0.7993640899658203,72,758090,758090,184755674,,"{""epoch"":7.69,""eval_accuracy"":0.8339350180505415,""eval_loss"":0.7993640899658203,""eval_runtime"":4.0555,""eval_samples_per_second"":68.302}"
NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed42_budget0.94/telemetry.jsonl,rank_telemetry.v1,genetic_budgeted_calibrated,42,0,700,604.9066302359997,training_trajectory_evaluation,validation,0.8736462093862816,0.5880759954452515,72,758090,758090,184755674,,"{""epoch"":8.97,""eval_accuracy"":0.8736462093862816,""eval_loss"":0.5880759954452515,""eval_runtime"":5.4035,""eval_samples_per_second"":51.263}"
NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed42_budget0.94/telemetry.jsonl,rank_telemetry.v1,genetic_budgeted_calibrated,42,0,800,681.6118046269994,training_trajectory_evaluation,validation,0.8628158844765343,1.0290952920913696,72,758090,758090,184755674,,"{""epoch"":10.26,""eval_accuracy"":0.8628158844765343,""eval_loss"":1.0290952920913696,""eval_runtime"":5.7797,""eval_samples_per_second"":47.926}"
NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed42_budget0.94/telemetry.jsonl,rank_telemetry.v1,genetic_budgeted_calibrated,42,0,900,762.6031270960002,training_trajectory_evaluation,validation,0.851985559566787,0.9395613074302673,72,758090,758090,184755674,,"{""epoch"":11.54,""eval_accuracy"":0.851985559566787,""eval_loss"":0.9395613074302673,""eval_runtime"":5.6647,""eval_samples_per_second"":48.899}"
NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed42_budget0.94/telemetry.jsonl,rank_telemetry.v1,genetic_budgeted_calibrated,42,0,1000,840.3220488149991,training_trajectory_evaluation,validation,0.8411552346570397,1.184930682182312,72,758090,758090,184755674,,"{""epoch"":12.82,""eval_accuracy"":0.8411552346570397,""eval_loss"":1.184930682182312,""eval_runtime"":5.2511,""eval_samples_per_second"":52.75}"
NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed42_budget0.94/telemetry.jsonl,rank_telemetry.v1,genetic_budgeted_calibrated,42,0,1100,916.8162624379993,training_trajectory_evaluation,validation,0.8447653429602888,0.9125623106956482,72,758090,758090,184755674,,"{""epoch"":14.1,""eval_accuracy"":0.8447653429602888,""eval_loss"":0.9125623106956482,""eval_runtime"":5.2056,""eval_samples_per_second"":53.212}"
NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed42_budget0.94/telemetry.jsonl,rank_telemetry.v1,genetic_budgeted_calibrated,42,0,1200,996.4598276589995,training_trajectory_evaluation,validation,0.851985559566787,0.9270133972167969,72,758090,758090,184755674,,"{""epoch"":15.38,""eval_accuracy"":0.851985559566787,""eval_loss"":0.9270133972167969,""eval_runtime"":4.2407,""eval_samples_per_second"":65.32}"
NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed42_budget0.94/telemetry.jsonl,rank_telemetry.v1,genetic_budgeted_calibrated,42,0,1300,1076.6590682899996,training_trajectory_evaluation,validation,0.8339350180505415,1.1556528806686401,72,758090,758090,184755674,,"{""epoch"":16.67,""eval_accuracy"":0.8339350180505415,""eval_loss"":1.1556528806686401,""eval_runtime"":5.3279,""eval_samples_per_second"":51.991}"
